ticker,pe_ratio,eps_growth,revenue_growth,roe,debt_to_equity,score,recommendation
XOM,24.718382,-0.434,0.026,0.09873,18.261,4.6,HOLD
CVX,31.794426,-0.444,0.035,,24.323,4.8,HOLD
COP,19.471186,-0.202,-0.053,0.112840004,36.143,4.8,HOLD
SLB,23.348019,-0.138,0.027,0.14066,42.515,4.6,HOLD
EOG,12.870206,0.396,0.156,0.18195,26.873,8.8,BUY
MPC,15.94865,,0.088,0.27458,146.523,6.2,HOLD
PSX,16.647873,-0.568,0.069,0.14547,91.385,4.7,HOLD
VLO,17.277046,,0.066,0.1585,42.664,6.1,HOLD
HAL,21.61326,1.335,-0.003,0.14626999,74.651,5.5,HOLD
OXY,72.89189,3.156,-0.083,0.04053,41.989,5.1,HOLD
